id,RA_C,DEC_C,RA_M,DEC_M,DIF,MAG_R,MAG_V,MAG_B,MAG_err,CMAG_R,CMAG_V,CMAG_B,DATETIME,IMGNAME
643-093978,305.80089859999998,38.574953100000002,305.80099373814227,38.574492377552275,1.6799999999999999,---,---,12.237495646098719,0.00053606561636188759,---,---,11.065999984741211,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.87976480558979,38.52234960915338,nan,---,---,17.503088410764768,0.0080545505445920318,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.87936504183125,38.522069205567554,nan,---,---,14.693080952695356,0.0014144604118123574,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.8788007900751,38.523041165202812,nan,---,---,13.896886960990377,0.001087587985541283,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094187,306.00541120000003,38.5137687,306.00535492915157,38.513797966613218,0.19,---,---,9.7029860865307107,0.00020740113087275313,---,---,9.7899999618530273,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094116,305.94150710000002,38.500873900000002,305.9415556512941,38.500832850647477,0.20100000000000001,---,---,10.141299911592633,0.00023753326493340253,---,---,10.149999618530273,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094279,306.13654450000001,38.510809799999997,306.13646149810069,38.510787796801971,0.247,---,---,10.866850480481748,0.00025729057985868974,---,---,10.772000312805176,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094185,305.99860740000003,38.502648100000002,305.99906471879757,38.502991508202783,1.786,---,---,12.373774054784946,0.0003800377612483815,---,---,12.293999671936035,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.99821091860002,38.502422301147298,nan,---,---,12.390991346850166,0.00037631310747306531,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094184,305.99809269999997,38.530006200000003,305.99772989500576,38.529881082143248,1.117,---,---,10.962529598457353,0.00032018925850279634,---,---,10.986000061035156,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.88018112425954,38.523222621190335,nan,---,---,14.936397198032278,0.0014042251826953686,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.87569340024982,38.564641976302113,nan,---,---,14.912090417281293,0.00098129478276623872,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094015,305.84486529999998,38.551489799999999,305.84505804268747,38.551580757910536,0.63400000000000001,---,---,11.997191660803786,0.00027756222332573754,---,---,11.96399974822998,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094197,306.01940889999997,38.5381334,306.01946393331855,38.538223877070955,0.36099999999999999,---,---,9.7531837378638677,0.00021157985367722799,---,---,9.8629999160766602,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-093975,305.80028859999999,38.5247387,305.80050755389669,38.524883851510516,0.80800000000000005,---,---,10.851749226724781,0.00028637270987902716,---,---,12.218999862670898,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.99854379800223,38.530373251628632,nan,---,---,10.966780382905876,0.00033204809668283181,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.858441907908,38.512390525707438,nan,---,---,15.525530347407177,0.0015653016797780852,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.88006668170658,38.522691477533996,nan,---,---,13.876149237741048,0.0011519358969985642,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
642-092649,305.8279359,38.388335599999998,305.82811943373144,38.388148983392966,0.84799999999999998,---,---,11.258209952487501,0.00032764096373612094,---,---,11.159999847412109,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.90188368052446,38.403322982095176,nan,---,---,14.938279279683568,0.00094311516621606837,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094286,306.15079300000002,38.443072800000003,306.15083584859468,38.443013382283269,0.246,---,---,12.394308203855083,0.00029443218996596545,---,---,12.265999794006348,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094162,305.97926330000001,38.466352000000001,305.97933051517981,38.466268228841322,0.35599999999999998,---,---,10.144854159226696,0.00023722230269277684,---,---,10.163000106811523,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094068,305.89056649999998,38.458473400000003,305.89106148488975,38.458734539607569,1.6819999999999999,---,---,12.602767851343799,0.00047504850277527215,---,---,12.605999946594238,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.89046627090283,38.458177470296604,nan,---,---,12.936421352886034,0.00086849161773514807,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094261,306.10511059999999,38.485246400000001,306.10504514850624,38.485175441962475,0.315,---,---,10.420927053422837,0.00023891467011613433,---,---,10.309000015258789,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094105,305.92853769999999,38.475976199999998,305.92834507669016,38.475803601564536,0.82499999999999996,---,---,12.539232347020459,0.00046795577726388242,---,---,12.53600025177002,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.92893177307332,38.476312394900063,nan,---,---,12.559653174847591,0.00052722098872560466,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
